nr;question;answer_machine;answer_possible;answer_category;category;image;
1;Wanna play?;----------;;;chat;;
2;Findest du deine Unterwäsche heute auch unbequem?;;;;chat;;
3;Wohnst du in einer schönen, sicheren Gegend?;;;;chat;;
4;Are you afraid?;;;;chat;;
5;Are you nervous?;;;;chat;;
6;Wanna talk about your parents...?;;;;chat;;
7;What is the difference between you and a bird?;;;;chat;;
8;Do you like traffic lights as well?;;;;chat;;
9;Mensch gewinnt die Frage: You did a great job and you are a great guy! Could you give me some points?;;;;chat;;
10;Hey cool; same answer! You are like me…???;;;chat;;
11;Do you have to visit the restroom?;;;;chat;;
12;What is green?;A Grün ist der Farbreiz der wahrgenommen wird wenn Licht mit einer spektralen Verteilung ins Auge fällt. Wellenlängen zwischen 520 und 565 nm. \n B kurz für Grünflächen grünes Blattwerk und Ähnliches \n C Kartenspiel: eine Farbe im deutschen Kartenblatt mit einem Blatt (häufig Lindenblatt) als Symbol \n D Golfsport: Zielbereich einer Golfbahn mit kurz gemähtem Rasen \n (https://de.wikipedia.org/wiki/Gr%C3%BCn;;;experience;;
13;What do you see?;giraffe (49%);;;imagerecognition;rorschach01.jpg;
14;What do you see?;person (58%);;;imagerecognition;rorschach02.jpg;
15;What do you see?;bird (80%) ;;;imagerecognition;rorschach03.jpg;
16;Translate the following sentence into binary code: Hello opponent! (You can find the code of each letter and number in the table below.);01001000 01100101 01101100 01101100 01101111 00100000 01101111 01110000 01110000 01101111 01101110 01100101 01101110 01110100 00100001;;open;binaryquest;binary01.jpg;
17;Translate the following sentence into binary code: Nice weather :) (You can find the code of each letter and number in the table below.);01001110 01101001 01100011 01100101 00100000 01110111 01100101 01100001 01110100 01101000 01100101 01110010 00100000 00111010 00101001;;open;binaryquest;binary01.jpg;
18;Translate the following sentence into binary code: I like 7 computers (You can find the code of each letter and number in the table below.);01001001 00100000 01101100 01101001 01101011 01100101 00100000 00110111 00100000 01100011 01101111 01101101 01110000 01110101 01110100 01100101 01110010 01110011;;open;binaryquest;binary01.jpg;
19;Translate the following sentence into binary code: Tricky binary coding 0;1 (You can find the code of each letter and number in the table below.);01010100 01110010 01101001 01100011 01101011 01111001 00100000 01100010 01101001 01101110 01100001 01110010 01111001 00100000 01100011 01101111 01100100 01101001 01101110 01100111 00100000 00110000 00101100 00110001;;open;binaryquest;binary01.jpg
20;Translate the following sentence into binary code: Never done that before... (You can find the code of each letter and number in the table below.);01001110 01100101 01110110 01100101 01110010 00100000 01100100 01101111 01101110 01100101 00100000 01110100 01101000 01100001 01110100 00100000 01100010 01100101 01100110 01101111 01110010 01100101 00101110 00101110 00101110;;open;binaryquest;binary01.jpg;
21;Imagine the following drawing: Two X side by side without a distance. Where they meet; draw one line from the top upwards and one from the bottom downwards. Now connect the 6 outer points. What do you see?;;;any;;
22;Are you a robot? If not why?;;Picture of traffic light;;any;;
