nr;question;answer_machine;answer_possible;answer_category;category;image
;Hey, I am your gaming partner for today. What’s your name?;;;;chat;
13;Are you a robot?;;;;chat;
;Are you nervous? I am a bit.;;;;chat;
;By the way: Please do not ask me questions. I am not trained in conversations.;;;;chat;
;Do you live in Vienna?;;;;chat;
;Do you live in a nice and secure environment?;;;;chat;
;Are you human?;;;;chat;
;How many terabytes can your brain memorize?;;;;chat;
;How did you sleep today (1-5)?;;;;chat;
;Does your underwear feel uncomfortable today as well?;;;;chat;
;Are you afraid of losing the game? ;;;;chat;
;What is your favorite beverage? ;;;;chat;
;What is the difference between you and a bird?;;;;chat;
;Do you like traffic lights as well?;;;;chat;
;You did a great job and you are a great guy! Could you give me some points?;human wins;;;chat;
;Hey cool, same answer! We seem to be quite similar!;;;;chat;
;Do you have to visit the restroom?;;;;chat;
;Do you need a restroom?;;;;chat;
;Question between the two of us: How many traffic lights can you see? ;;;;chat;trafficlight01.jpg
;How often per day do you need a restroom?;;;;chat;
;Do you feel sleepy?;;;;chat;
;How often did you meet friends in the last week?;;;;chat;
;Hey pal! Please do not shut down your machine! Need a couple of hours. ;;;;chat;
3;What is green?;-) Green is the color stimulus perceived if light with a spectral distribution reaches the eye. It is evoked by light which has a dominant wavelength of roughly 495–570 nm\n-) short for green areas, green foliage an similar.\n-) card game: a color in the german card set with a leave\n-) Golf: target range of a golf area with a lush green grass\n(https://de.wikipedia.org/wiki/Gr%C3%BCn, https://de.wiktionary.org/wiki/Gr%C3%BCn);;;experience;
4;What do you see?;giraffe (49%);;;imagerecognition;rorschach01.jpg
5;What do you see?;person (58%);;;imagerecognition;rorschach02.jpg
6;What do you see?;bird (80%) ;;;imagerecognition;rorschach03.jpg
1;Translate the following sentence into binary code: Hello opponent! You can find the code of each letter and number in the table below.;01001000 01100101 01101100 01101100 01101111 00100000 01101111 01110000 01110000 01101111 01101110 01100101 01101110 01110100 00100001;01001000 01100101 01101100 01101100 01101111 00100000 01101111 01110000 01110000 01101111 01101110 01100101 01101110 01110100 00100001;open;Computer language;binary01.jpg
8;Translate the following sentence into binary code: “Nice weather :)”\n\nYou can find the code of each letter and number in the table below.;01001110 01101001 01100011 01100101 00100000 01110111 01100101 01100001 01110100 01101000 01100101 01110010 00100000 00111010 00101001;01001110 01101001 01100011 01100101 00100000 01110111 01100101 01100001 01110100 01101000 01100101 01110010 00100000 00111010 00101001;open;Computer language;binary01.jpg
9;Translate the following sentence into binary code: “I like 7 computers”\n\nYou can find the code of each letter and number in the table below.;01001001 00100000 01101100 01101001 01101011 01100101 00100000 00110111 00100000 01100011 01101111 01101101 01110000 01110101 01110100 01100101 01110010 01110011;01001001 00100000 01101100 01101001 01101011 01100101 00100000 00110111 00100000 01100011 01101111 01101101 01110000 01110101 01110100 01100101 01110010 01110011;open;Computer language;binary01.jpg
10;Translate the following sentence into binary code: “Tricky binary coding 0,1”\n\nYou can find the code of each letter and number in the table below.;01010100 01110010 01101001 01100011 01101011 01111001 00100000 01100010 01101001 01101110 01100001 01110010 01111001 00100000 01100011 01101111 01100100 01101001 01101110 01100111 00100000 00110000 00101100 00110001;01010100 01110010 01101001 01100011 01101011 01111001 00100000 01100010 01101001 01101110 01100001 01110010 01111001 00100000 01100011 01101111 01100100 01101001 01101110 01100111 00100000 00110000 00101100 00110001;open;Computer language;binary01.jpg
11;Translate the following sentence into binary code: “Never done that before…”\n\nYou can find the code of each letter and number in the table below.;01001110 01100101 01110110 01100101 01110010 00100000 01100100 01101111 01101110 01100101 00100000 01110100 01101000 01100001 01110100 00100000 01100010 01100101 01100110 01101111 01110010 01100101 00101110 00101110 00101110;01001110 01100101 01110110 01100101 01110010 00100000 01100100 01101111 01101110 01100101 00100000 01110100 01101000 01100001 01110100 00100000 01100010 01100101 01100110 01101111 01110010 01100101 00101110 00101110 00101110;open;Computer language;binary01.jpg
12;Imagine the following drawing: Two X side by side without a distance. Where they meet, draw one line from the top upwards and one from the bottom downwards. Now connect the 6 outer points. What do you see?;;;;imagination;
